,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
10,Soybeans,487,,57.8,0,57.8,"Organic Lettuce, Marinated Tri Tip (Beef Tri Tip, Bistro Marinade (Bistro Blended Sesame Seed Oil (Canola Oil, Pure Sesame Oil), Yellow Onions, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Fair Trade Light Brown Sugar, Garlic, Red Pepper)), Asian Salad Mix (Baby Bok Choy, Snow Peas, Red Bell Pepper, Celery, Carrots), Spring Mix, Spicy Miso Dressing (Canola Oil, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. ), Ginger, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Garlic Chili Sauce (Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate & Sodium Bisulfite (preservatives), Xanthan Gum.), Pure Sesame Oil, Fair Trade Organic Sugar Cane), Cherry Tomatoes, Edamame, Taro Sticks (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Salt)",16088873,0001-01-01T00:00:00,Bistro Salad w/ Steak,9.00,24,5,1 PLATE,599.7,Share Plates,9.3,ALL DAY,22.1,302,0.1
11,"Wheat, Soybeans, Gluten",298,,28,0,28,"Chicken Potsticker (Chicken meat, enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cabbage, water, carrots, celery, green onion, contains 2% or less of sugar, sesame oil, chicken base flavor (salt, yeast extract, sugar, maltodextrin from tapioca, chicken broth, dehydrated onion, canola oil, spice, natural flavor), sea salt, cooking wine (rice wine, salt, caramel color), ginger, garlic powder, soy sauce (water, wheat, soybeans, salt, contains less than 0.1% of sodium benzoate as preservative), salt, yeast extract enhancer (yeast extract, canola oil), white pepper, and corn starch as processing aid.), Pot Sticker Dipping Sauce (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Mirin (Water, Dextrose, Rice, Corn Syrup, Salt), Pure Sesame Oil, Red Bell Pepper, Cilantro), Orange Zest (Navel Orange), Water, Cilantro, Red Bell Pepper, Canola Oil",16088874,0001-01-01T00:00:00,Chicken Potstickers,9.00,16.3,0.4,1 PLATE,1227.2,Share Plates,5.2,ALL DAY,40.8,71,0
12,"Wheat, Soybeans, Gluten",177,,14,0,14,"Chicken Potsticker (Chicken meat, enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cabbage, water, carrots, celery, green onion, contains 2% or less of sugar, sesame oil, chicken base flavor (salt, yeast extract, sugar, maltodextrin from tapioca, chicken broth, dehydrated onion, canola oil, spice, natural flavor), sea salt, cooking wine (rice wine, salt, caramel color), ginger, garlic powder, soy sauce (water, wheat, soybeans, salt, contains less than 0.1% of sodium benzoate as preservative), salt, yeast extract enhancer (yeast extract, canola oil), white pepper, and corn starch as processing aid.), Pot Sticker Dipping Sauce (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Mirin (Water, Dextrose, Rice, Corn Syrup, Salt), Pure Sesame Oil, Red Bell Pepper, Cilantro), Orange Zest (Navel Orange), Cilantro, Red Bell Pepper, Canola Oil",16088875,0001-01-01T00:00:00,Chicken Potstickers Half Order,5.00,8.8,0.4,1 PLATE,844.5,Share Plates,4.3,ALL DAY,23.1,50,0
13,"Milk, Wheat, Soybeans, Gluten",413,,33.3,0,33.3,"Roasted Pork Belly (Pork Belly (all natural pork), Organic Sugar, Salt, Garlic, Cracked Black Pepper, Cilantro), Bao Bun Chimei (Wheat flour, water, sugar, fresh yeast, milk, palm oil, emulsifier (d-sorbitol e420), soybean oil, soy lecithin, glycerin fatty acid ester, sucrose fatty acid ester, coconut oil, corn starch, salt, calcium carbonate, corn starch, wheat flour, sodium erythorbate, alpha-amylase, tapioca starch, water.), Pickled Daikon and Carrots (Banh Mi Brine (Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Organic Sugar, Salt, Garlic, Jalapenos), Carrots, Daikon Root), Taro Chips (Taro, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Bistro Spice Mix (Salt, Granulated Garlic, Onion Powder, Black Pepper, Cayenne Pepper)), Pickled Cucumbers (Cucumber, Water, Organic Sugar, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Salt), Limes, Hoisin Glaze (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Honey, Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), Canola Oil, Cilantro, Garlic, Green Onions, peppercorns, Star Anise), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Cilantro",16088876,0001-01-01T00:00:00,Pork Belly Bun,4.00,7.9,9.6,1 EACH,1458.4,Share Plates,13.4,ALL DAY,34.2,254,0
14,"Wheat, Soybeans, Gluten",213,,18.2,0,18.2,"Pork & Vegetable Pot Sticker (Pork, Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Water, Cabbage, Soy Sauce (Water, Soybeans, Salt, And Wheat Flour), 2% or Less of: Salt, Green Onion, Sugar, Modified Corn Starch, Rice Flour, Garlic, Sesame Seed Oil, Spices, Soybean Oil, Sodium Phosphate.), Pot Sticker Dipping Sauce (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Mirin (Water, Dextrose, Rice, Corn Syrup, Salt), Pure Sesame Oil, Red Bell Pepper, Cilantro), Orange Zest (Navel Orange), Cilantro, Red Bell Pepper, Canola Oil",16088877,0001-01-01T00:00:00,Pork and Veg Potstickers Half Order,5.00,8.6,2.3,1 PLATE,826.4,Share Plates,5.2,ALL DAY,24.8,84,0
15,"Wheat, Soybeans, Gluten",371,,36.5,0,36.5,"Pork & Vegetable Pot Sticker (Pork, Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Water, Cabbage, Soy Sauce (Water, Soybeans, Salt, And Wheat Flour), 2% or Less of: Salt, Green Onion, Sugar, Modified Corn Starch, Rice Flour, Garlic, Sesame Seed Oil, Spices, Soybean Oil, Sodium Phosphate.), Pot Sticker Dipping Sauce (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Mirin (Water, Dextrose, Rice, Corn Syrup, Salt), Pure Sesame Oil, Red Bell Pepper, Cilantro), Orange Zest (Navel Orange), Water, Cilantro, Red Bell Pepper, Canola Oil",16088878,0001-01-01T00:00:00,Pork and Vegetable Pot Stickers,9.00,15.9,4.1,1 PLATE,1190.9,Share Plates,7,ALL DAY,44.2,139,0
16,"Eggs, Fish, Crustacean Shellfish, Wheat, Soybeans, Gluten",485,,28.3,0,28.3,"TAKOYAKI (Water, cabbage, seasoning powder (wheat, salt, monosodium glutamate, disodium 5'-inosinate, disodium 5'-guanylate, sodium acid pyrophsophate, soidum bicarbonate, potassium acid tartrate, monocalcium phosphate, corn starch, wheat starch, white pepper poder, soy protein), octopus, tabpioca starch, scallion, soybean oil, vinegar ginger (ginger, water, salt, monosodium glutamate, acetic acid, citri acid, potassium sorbate), bonito seasoning (salt, monosodium glutamate, bonito powder, glucose, potato starch, disodium 5'-inosinate, disodium 5'-guanylate, disodium succinate), glucose, monosodium glutamate, salt, guar gum.), Eel Sauce (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Fair Trade Organic Sugar Cane, Mirin (Water, Dextrose, Rice, Corn Syrup, Salt)), Spicy Mayo (Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.)), Daikon Carrot Garnish (Daikon Root, Carrots), Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.), Dried Fish Shavings (Skipjack Tuna.), Nori Seaweed (Ginger, Water, Salt, Acetic Acid, Citric Acid, Aspartame, Potassium Sorbate, Food Color (red 40).)",16088879,0001-01-01T00:00:00,Takoyaki,5.00,8.9,4,1 PLATE,865.1,Share Plates,17,ALL DAY,34.7,305,0
17,"Milk, Eggs, Tree Nuts, Wheat, Soybeans, Gluten",355,,0,0,0,"Tempura Batter (Tempura Batter Mix (Bleached Wheat Flour, Sugar, Leavening (sodium bicarbonate, sodium aluminum phosphate, sodium acid pyrophosphate), Salt, Nonfat, Dried Milk, Yellow Corn Flour, Dried Whole Eggs, Guar Gum, Oleoresin Turmeric (color).), Water, Ice), Tempura Sauce (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Water, Mirin (Water, Dextrose, Rice, Corn Syrup, Salt), Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Ginger), Yams, Broccolini, Carrots, Shitake Mushrooms, Green Onions, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)",16088880,0001-01-01T00:00:00,Vegetable Tempura Full Order,7.00,4.8,0.7,1 PLATE,1397.4,Share Plates,13.2,ALL DAY,55.1,85,0
18,"Milk, Eggs, Tree Nuts, Wheat, Soybeans, Gluten",234,,0,0,0,"Tempura Batter (Tempura Batter Mix (Bleached Wheat Flour, Sugar, Leavening (sodium bicarbonate, sodium aluminum phosphate, sodium acid pyrophosphate), Salt, Nonfat, Dried Milk, Yellow Corn Flour, Dried Whole Eggs, Guar Gum, Oleoresin Turmeric (color).), Water, Ice), Tempura Sauce (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Water, Mirin (Water, Dextrose, Rice, Corn Syrup, Salt), Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Ginger), Broccolini, Carrots, Yams, Green Onions, Shitake Mushrooms, Canola Fryer Shortening (Canola oil, TBHQ and citric acid added to help preserve freshness, Dimethylpolysiloxane.)",16088881,0001-01-01T00:00:00,Vegetable Tempura Half Order,4.00,3.1,0.7,1 PLATE,765.3,Share Plates,7.1,ALL DAY,32.1,83,0
19,"Milk, Tree Nuts, Wheat, Soybeans, Gluten",615,,101,0,101,"Marinated Pork Loin (Pork Loin, Asian BBQ Sauce (Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), BBQ Sauce  (High Fructose Corn Syrup, Distilled Vinegar, Tomato Paste, Modified Food Starch, 2% or Less of: Salt, Pineapple Juice Concentrate, Natural Smoke Flavor, Spices, Caramel Color, Sodium Benzoate (preservative), Molasses, Corn Syrup, Dried Garlic, Sugar, Tamarind, Natural Flavor.), Orange Juice (100% Pure Orange Juice From Concentrate (filtered water, concentrated orange juice).), Cranberry Juice, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Pure Sesame Oil, Lemongrass Rub (Lemon Grass, Red Jalapenos, Ginger, Canola Oil, Cilantro, Salt), Cilantro)), Taro Potato (Potatoes, Taro, Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Unsalted Butter (Pasteurized Cream, Natural Flavorings.), Salt), Broccolini, Asian BBQ Sauce (Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), BBQ Sauce  (High Fructose Corn Syrup, Distilled Vinegar, Tomato Paste, Modified Food Starch, 2% or Less of: Salt, Pineapple Juice Concentrate, Natural Smoke Flavor, Spices, Caramel Color, Sodium Benzoate (preservative), Molasses, Corn Syrup, Dried Garlic, Sugar, Tamarind, Natural Flavor.), Orange Juice (100% Pure Orange Juice From Concentrate (filtered water, concentrated orange juice).), Cranberry Juice, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Pure Sesame Oil, Lemongrass Rub (Lemon Grass, Red Jalapenos, Ginger, Canola Oil, Cilantro, Salt), Cilantro), Soy Glaze (Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Hoisin Sauce (Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FD&C Red Color No. 40.), Garlic, Teriyaki Sauce (Soy Sauce (water, wheat, soybeans, salt, sodium benzoate), Water, Sugar, High Fructose Corn Syrup, Modified Corn Starch, White Distilled Vinegar, Caramel Color, Citric Acid, Ginger, Dehydrated Garlic, Spices. ), Sweet Chili Sauce (Sugar, Water, Pickled Red Chili, Vinegar, Garlic, Salt, Xanthan Gum (stabilizer).), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Canola Oil, Mirin (Water, Dextrose, Rice, Corn Syrup, Salt), Ginger), Orange Zest (Navel Orange)",16088882,0001-01-01T00:00:00,Asian BBQ Pork Loin,13.00,43.2,7,1 PLATE,2198.4,Entrees,28.8,ALL DAY,66.8,162,0.1
20,"Milk, Fish, Soybeans",563,,90.9,0,90.9,"Beef Tenderloin, Grilled Sweet Potato (Yams, Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.), Black Pepper), Asian Chimichurri Sauce (Cilantro, Navel Orange, Mint, Thai Basil, Green Onions, Red Jalapenos, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Fish Sauce (Water, Anchovy Extract, Salt, Sugar.), Garlic, Pure Sesame Oil, Fair Trade Organic Sugar Cane, Ginger, Salt, Black Pepper), Kale, Bistro Roasted Tomatoes (Roma Tomatoes, Fish Sauce (Water, Anchovy Extract, Salt, Sugar.), Bistro Blended Sesame Seed Oil (Canola Oil, Pure Sesame Oil), Garlic, Green Onions, Ginger), Miso butter (Unsalted Butter (Pasteurized Cream, Natural Flavorings.), Light Miso Soybean Paste (Water, Soybeans, Rice, Salt, Alcohol, Vitamin B12. )), Black Pepper, Salt, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)",16088883,0001-01-01T00:00:00,Beef Tenderloin w/Miso Butter and Chimichurri,19.00,30.7,11.6,1 PLATE,1234.6,Entrees,6.5,ALL DAY,27.3,333,0
