,Unnamed: 0,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
10,10,"Milk, Soybeans",511,,75.7,2,75.7,"Cheese Mix (Monterey Jack (Pasteurized milk, Cheese Culture, Salt, Enzymes, Potato Starch and powdered cellulose added to prevent caking.), Oaxaca Cheese), Corn Tortilla (Yellow Corn Flour, Water, 2% or Less of: Fumaric Acid, Cellulose Gum, Sodium Propionate, Sorbic Acid, Guar Gum, Trace of Lime. ), Mexican Soyrizo (Water, Textured Vegetable Protein (soy flour, caramel color, zinc oxide, niacinamide, ferrous sulfate, copper gluconate, vitamin A palmitate, calcium pantothenate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin, cyanocobalamin), Soybean Oil, Paprika, Salt (salt, yellow prussiate of soda (anticaking), Vinegar, Spices, Red Pepper, Potassium Sorbate (preservative), Garlic Powder.), Green Onions",16090421,0001-01-01T00:00:00,Skillet Queso Fundido,9.0,27.6,16.5,1 PORTN,743.9,Plates,1.6,ALL,31.7,288,0
11,11,"Milk, Wheat, Gluten",527,,80.1,2,80.1,"Turkey Cauliflower Meatball Mix (Barley Patty (Water, Barley, Medium Instant Polenta (Cornmeal.), Cauliflower, Yellow Onions, Celery, Green Onions, Salt, Garlic, Basil, Paprika, Ground Cumin, White Pepper), Ground Turkey (Ground Turkey.), Salt), Whole Wheat Pasta Cooked (Penne (100% Durum Whole Wheat Flour.)), Marinara Sauce (Crushed Tomatoes (Vine-Ripened Unpeeled Tomatoes, Tomato Puree, 2% or Less of: Salt, Citric Acid.), Water, Yellow Onions, Burgundy Cooking Wine (Wine, Salt, 1% or Less of: Malic Acid, Potassium Metabisulfite (preservative).), Basil, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Garlic, Salt, Whole Leaf Thyme, Oregano, Black Pepper), Mozzarella Cheese (Pasteurized Cow's Milk, Vinegar, Enzymes, Salt.), Artichoke (Quartered Artichoke Heats, Salt, Water, Citric Acid.), Asparagus, Basil",16090422,0001-01-01T00:00:00,Whole Wheat Penne Pasta with Turkey Meat Ball,10.0,36.1,6,1 PORTN,1651.7,Plates,8.3,ALL,65.1,148,0.1
12,12,Milk,177,,25.5,2,25.5,"Russet Potatoes, Half & Half, Unsalted Butter (Pasteurized Cream, Natural Flavorings.), Roasted Garlic (Garlic, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.)), Salt, White Pepper",16090423,0001-01-01T00:00:00,Garlic Mashed Potatoes,2.0,2.9,5.8,4 OZ,234.7,Sides,0.9,ALL,18.3,90,0.3
13,13,,41,,0,2,0,"Asparagus, Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, Black Pepper",16090424,0001-01-01T00:00:00,Grilled Asparagus,2.0,2.1,0.2,3 OZ,352.2,Sides,1.1,ALL,3.7,25,0
14,14,"Tree Nuts, Soybeans",367,,0,2,0,"Coconut Cardamom Panna Cotta (Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Fair Trade Organic Sugar Cane, Plain Soy Milk (Natural Soy Milk (filtered water, whole soybeans), Natural Evaporated Cane Sugar.), Agar Agar Cuisine Tech, Cardamom), Kiwi Pineapple Salsa (Pineapple, Kiwi, Water, Fair Trade Organic Sugar Cane), Berry Citrus Coulis (Berry Compote (Blackberries, Strawberry, Blueberries, Navel Orange, Fair Trade Organic Sugar Cane), Lime Juice (Key west lime juice, sodium benzoate.)), Coconut Chips",16090425,0001-01-01T00:00:00,Coconut Cardamom Panna Cotta Plate,5.0,3.5,20.8,1 PLATE,22.3,Dessert,31,ALL,38.7,216,0
15,15,"Milk, Eggs, Soybeans",363,,125.6,2,125.6,"Flourless Chocolate Torte (Chocolate Chips (Semi-Sweet Chocolate (sugar, chocolate, cocoa butter, milk fat, soy lecithin, vanillin, artificial flavor, milk).), Cage Free Eggs, Unsalted Butter (Pasteurized Cream, Natural Flavorings.), Fair Trade Organic Sugar Cane, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.), Salt), Berry Compote (Blackberries, Strawberry, Blueberries, Navel Orange, Fair Trade Organic Sugar Cane), Berry Citrus Coulis (Berry Compote (Blackberries, Strawberry, Blueberries, Navel Orange, Fair Trade Organic Sugar Cane), Lime Juice (Key west lime juice, sodium benzoate.)), Powdered Sugar, Mint",16090426,0001-01-01T00:00:00,Flourless Chocolate Torte Plate,5.0,6.4,8.9,1 EACH,61.8,Dessert,46.7,ALL,52.9,153,0
16,16,"Milk, Eggs, Wheat, Soybeans, Gluten",516,,72.2,2,72.2,"Berry Compote (Blackberries, Strawberry, Blueberries, Navel Orange, Fair Trade Organic Sugar Cane), Pound Cake (Eggs, enriched bleached flour (wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, butter (cream, salt), high fructose corn syrup, mono- and diglycerides. Contains 2% or less of each of the following: water, leavening (sodium acid pyrophosphate, baking soda, monocalcium phosphate), corn starch, salt, milk protein concentrate, modified corn starch, guar gum, xanthan gum, sodium stearoyl lactylate, vanillin (artificial flavor), annatto (color), soy flour.), Whipped Topping (Heavy Cream, Water, Sugar, Nonfat Milk, Maltodextrin, 2% or Less of: Cellulose Gel, Mono & Diglycerides, Natural Flavor, Carrageenan, Cellulose Gum.), Caramel Sauce (Corn syrup, high fructose corn syrup, sugar, condensed nonfat milk, water, heavy whipping cream, salt, pectin, artificial flavors, potassium sorbate - a preservative, caramel color and disodium phosphate.), Mint",16090427,0001-01-01T00:00:00,Grilled Pound Cake,6.0,5.6,6.8,1 PORTN,391.1,Dessert,17.1,ALL,75.3,192,0
17,17,"Milk, Eggs, Wheat, Soybeans, Gluten",565,,77.6,2,77.6,"Cheesecake (CREAM CHEESE (MILK, CREAM, CHEESE CULTURE, SALT, CAROB BEAN GUM), SUGAR, SOUR DRESSING (WATER, SOYBEAN OIL, SKIM MILK, CORN SYRUP SOLIDS, MODIFIED CORNSTARCH, WHEY, SODIUM PHOSPHATE, LOCUST BEAN GUM, CARRAGEENAN, SALT, NATURAL FLAVOR, TO PRESERVE FRESHNESS [POTASSIUM SORBATE], CULTURES), ENRICHED BLEACHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SKIM MILK, EGGS, BUTTER (CREAM, SALT), GRAHAM FLOUR, CONTAINS LESS THAN 2% OF THE FOLLOWING: PALM OIL, BROWN SUGAR, MODIFIED CELLULOSE, HONEY, NATURAL AND ARTIFICIAL FLAVOR, SALT, BAKING SODA, SOY LECITHIN, COLORED WITH CARAMEL COLOR. MANUFACTURED ON SHARED EQUIPMENT WITH PEANUTS AND TREE NUTS.), Strawberry Basil Salsa (Strawberry, Lemon, Fair Trade Organic Sugar Cane, Basil), Whipped Topping (Heavy Cream, Water, Sugar, Nonfat Milk, Maltodextrin, 2% or Less of: Cellulose Gel, Mono & Diglycerides, Natural Flavor, Carrageenan, Cellulose Gum.), Mint",16090428,0001-01-01T00:00:00,New York Cheesecake with Strawberry Basil Salsa,6.0,8.2,20.1,1 PORTN,634.4,Dessert,41.4,ALL,49,348,0
18,18,"Fish, Crustacean Shellfish, Wheat, Soybeans, Gluten",145,,38.3,3,38.3,"Ahi Tuna , 64 N Poke Sauce (Oyster Sauce (Water, Sugar, Salt, Oyster Extract (oyster, water, salt), Monosodium Glutamate (flavor enhancer), Modified Corn Starch, Wheat Flour, Caramel Color.), Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Gluten Free Soy Sauce (Water, Salt, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Caramel Color, Potassium Sorbate.), Pure Sesame Seed Oil, Sriracha Sauce (Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite, Xanthan Gum.), Garlic, Ginger), Cucumber, Green Onions, Cucumber, Tomatoes, Seaweed Sheet, Daikon Sprouts, Black Sesame Seeds",16090429,0001-01-01T00:00:00,Ahi Poke Salad,10.0,20.9,0.6,1 PLATE,650.1,Plates,1.7,ALL,4.5,37,0
19,19,"Milk, Wheat, Gluten",882,,98.2,3,98.2,"Chicken Breast  (Boneless Skinless Chicken Breast with Rib Meat; 15% Solution: Water, Salt, Sodium Phosphates.), Sourdough Bread (Flour (unbleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Water, Sour Culture, Salt, 2% or Less of: Vital Wheat Gluten, Calcium Sulfate.), Green Chili Pepper, Sliced Tomatoes (Tomatoes), Pepper Jack Cheese (Pasteurized Milk, Jalapeno Peppers, Cheese Cultures, Salt, Enzymes. ), Just Mayo Vegan Chipotle Aioli (Just Vegan Mayonnaise ( Expeller-Pressed Canola Oil, Water, Modified Food Starches, White Distilled Vinegar, Sugar, Contains less than 2% of Garlic Puree (garlic, citric acid), Lemon Juice Concentrate, Pea Protein, Salt, Spice, Tapioca Maltodextrin, Fruit and Vegetable Juice (color), Calcium Disodium EDTA (preservative). May contain soy.), Chipotle Sauce (chipotle peppers, water, vinegar, sugar, salt, tomato paste, smoke essence, onion, garlic. Kosher)), Kettle Chips (Potatoes, sunflower oil, sea salt.), Green Leaf Crowns (Green Leaf Lettuce), Cajun Rub Seasoning (Paprika, Salt, Granulated Garlic, Onion Powder, Black Pepper, White Pepper, Oregano, Cayenne Pepper), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16090430,0001-01-01T00:00:00,Cajun Grilled Chicken Sandwich,10.0,43,10.7,1 EACH,3010.3,Plates,3.7,ALL,75,396,0
20,20,,850,,168.1,3,168.1,"Pastor Marinated Chicken (Chicken, Al Pastor Marinade (Orange Juice, Yellow Onions, Garlic, Diced Tomatoes in Puree (Vine-Ripened Tomatoes, Salt, Citric Acid, Calcium Chloride.), Achiote Paste (Annatto Seed (natural color), Spices, Vinegar, Iodized Salt, Water, Granulated Garlic, Cornmeal, FD&C Red Color #40, Sodium Senzoate (preservative).), Apple Cider Vinegar, Lime Juice (Key west lime juice, sodium benzoate.), Salt, Paprika, Oregano)), Grilled Pineapple Salsa (Pineapple, Red Bell Pepper, Red Onion, Lime Juice (Key west lime juice, sodium benzoate.), Brown Sugar, Cilantro, Jalapenos, Salt), Corn Tortilla (Yellow Corn Flour, Water, 2% or Less of: Fumaric Acid, Cellulose Gum, Sodium Propionate, Sorbic Acid, Guar Gum, Trace of Lime. ), Green Onions, Al Pastor Marinade (Orange Juice, Yellow Onions, Garlic, Diced Tomatoes in Puree (Vine-Ripened Tomatoes, Salt, Citric Acid, Calcium Chloride.), Achiote Paste (Annatto Seed (natural color), Spices, Vinegar, Iodized Salt, Water, Granulated Garlic, Cornmeal, FD&C Red Color #40, Sodium Senzoate (preservative).), Apple Cider Vinegar, Lime Juice (Key west lime juice, sodium benzoate.), Salt, Paprika, Oregano), Avocado, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16090431,0001-01-01T00:00:00,Chicken al Pastor,12.0,60,9.1,1 PLATE,1002.5,Plates,15.9,ALL,60.5,351,0
