,Unnamed: 0,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
10,10,Tree Nuts,113,,0,2,0,"Hash Browns (Potatoes. Contains 2% or less of Dextrose, Sodium Acid Pyrophsophate to maintain color.), Vegan Cheese Sauce (Cashew Sauce Base (Water, Nutritional Yeast  (Dried yeast, niacin, pyridoxine hydrochloride (B6), riboflavin (B2), thiamin hydrochloride (B1), folic acid, Vitamin B12 ), Cashews, Garlic, Dijon Mustard (Black Mustard Seeds, Water, Vinegar, White Wine, Salt, Sulfites.), Curry Powder (Spices, Turmeric (color), Salt, Red Pepper, Spice Extract.), Cayenne Pepper), Vegan Cheese (Filtered water, tapioca and/or arrowroot flours, non-GMO expeller pressed canola and/or non-GMO expeller pressed safflower oil, coconut oil, pea protein, salt, inactive yeast, vegan natural flavors, vegetable glycerin, xanthan gum, citric acid (for flavor), annatto. Natural or organic ingredients. Free of 8 top allergens), Vegetable Stock (Water, Vegetable Base (Vegetables (onions, celery, carrots), Maltodextrin, Sugar, Autolyzed Yeast Extract, Onion Powder, Salt, Water, Corn Oil, Potassium Chloride, Carrot Powder, Modified Tapioca Starch, Carrot Juice Concentrate, Tomato Paste, Garlic Powder, Disodium Guanylate (flavor), Disodium Inosinate (flavor), Natural Flavor, Potassium Sorbate (protect quality), Citric Acid, Paprika Extracts (color).))), Red Bell Pepper, Yellow Onions, Spinach, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.), Nutritional Yeast  (Dried yeast, niacin, pyridoxine hydrochloride (B6), riboflavin (B2), thiamin hydrochloride (B1), folic acid, Vitamin B12 ), Salt, Paprika, Black Pepper",16089252,0001-01-01T00:00:00,Vegan Hash Brown Casserole,2.0,4.2,0.5,4 OZ,337.5,Breakfast,1.3,BREAKFAST,14.9,41,0
11,11,"Wheat, Gluten",217,,1.8,2,1.8,"Italian Grain Sausage (filtered water, vital wheat gluten, expeller pressed safflower oil, eggplant, onions, yeast extract, kosher red wine (red wine, salt) garlic, barley malt, onion powder, dried red bell pepper, fennel seed, granulated garlic, sea salt and spices. Made in a facility that processes tree nuts.), Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.)",16089253,0001-01-01T00:00:00,Vegan Italian Sausage,2.5,23.4,1,3 OZ,608.7,Breakfast,1.5,BREAKFAST,8,91,0
12,12,"Soybeans, Gluten",396,,0,2,0,"Vegan Oatmeal Pancakes (Plain Soy Milk (Natural Soy Milk (filtered water, whole soybeans), Natural Evaporated Cane Sugar.), Rolled Oats, Water, Sunflower Pan Coating Spray (Sunflower Oil, Sunflower Lecithin, Propellant.), Brown Sugar, Flax Meal, Baking Powder, Baking Soda, Salt, Ground Cinnamon), Apple Raisin Compote (Granny Smith Apples, Seedless Raisins (Raisins, contains less than 2% vegetable oil (sunflower and/or palm oil).), Brown Sugar, Apple Juice, Lemon, Margarine (Vegetable Oil Blend (Soybean Oil, Palm Oil, Palm Kernel Oil), Water, Salt, Soybean Lecithin (Soy) and Vegetable Mono & Diglycerides. Potassium Sorbate and Citric Acid added as preservatives. Colored with Beta Carotene. Artificial Butter Flavor. Vitamin A Palmitate added. ), Ground Cinnamon)",16089254,0001-01-01T00:00:00,Vegan Oat Pancakes with Apple Raisin Compote,3.0,8.4,0.6,1 PORTN,413.6,Breakfast,31.4,BREAKFAST,59.3,138,0.2
13,13,"Wheat, Gluten",75,,0,2,0,"Roots Veggie Stock (Water, Broccoli, Carrots, Tomatoes, Yellow Onions, Yellow Onions, Portabella Mushroom, Green Kale, Salt, White Pepper, Whole Leaf Thyme, Bay Leaves, Basil), Lentils, Potatoes, Green Kale, Yellow Onions, Rice Vinegar (Rice Vinegar, Invert Sugar, Salt, Diluted with water to 4% acidity), Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid.), Olive Oil Blend (Canola Oil, Extra Virgin Olive Oil.), Salt, White Pepper",16089255,0001-01-01T00:00:00,German Lentil Soup,2.0,3.3,0.1,7 OZL,124.4,Soup and Chili,1.8,BREAKFAST,12.8,14,0
14,14,,142,,0,2,0,"Carrots, Red Beets, Granny Smith Apples, Ice",16089256,0001-01-01T00:00:00,ABC Juice,5.0,3.1,0.1,16 OZ,169.3,Smoothies & Juices,22.3,BREAKFAST,34,6,0
15,15,,186,,0,2,0,Carrots,16089257,0001-01-01T00:00:00,Carrot Juice,5.0,4.2,0.2,16 OZ,313,Smoothies & Juices,21.5,BREAKFAST,43.5,10,0
16,16,,234,,0,2,0,"Carrots, Granny Smith Apples, Ice, Ginger",16089258,0001-01-01T00:00:00,Carrot-Apple-Ginger Juice,5.0,4.5,0.2,16 OZ,315.9,Smoothies & Juices,30.8,BREAKFAST,56.2,11,0
17,17,Soybeans,148,,0,2,0,"Roma Tomatoes, Frozen Strawberries, Ice, Broccoli, Roots Smoothie Base (Silk Milk (Soymilk (Filtered Water, Soybeans), Cane Sugar, Contains 2% or less of: Vitamin and Mineral Blend (Tricalcium Phosphate, Calcium Carbonate, Vitamin A Palmitate, Vitamin D2, Riboflavin [B2], Vitamin B12), Sea Salt, Natural Flavor, Gellan Gum.  ), Tofu (Water, Soybean, Nigari, Calcium Sulfate.), Agave (100% pure organic agave nectar)), Blueberries",16089259,0001-01-01T00:00:00,Fern Creek Smoothie,6.0,6.5,0.1,16 OZL,45.3,Smoothies & Juices,17.2,BREAKFAST,29.1,22,0
18,18,Tree Nuts,519,,0,2,0,"Banana, Frozen Strawberries, Pineapple, Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Ice, Limes",16089260,0001-01-01T00:00:00,Island Flavor Smoothie,6.0,5.8,21.5,16 OZ,21.9,Smoothies & Juices,44.1,BREAKFAST,80.2,225,0
19,19,,172,,0,2,0,"Water, Whole Frozen Raspberries, Agave (100% pure organic agave nectar), Lemon, Chia Seeds Paste (Water, Organic Chia Seeds)",16089261,0001-01-01T00:00:00,Raspberry Lemonade Chiller,3.5,1.9,0.3,16 OZL,14.9,Smoothies & Juices,28.1,BREAKFAST,37.9,23,0
20,20,,130,,0,2,0,"Ice, Mango, Red Bell Pepper, Frozen Strawberries, Carrot Juice, Orange Juice, Cayenne Pepper",16089262,0001-01-01T00:00:00,The Redwood Smoothie,6.0,2.5,0.2,16 OZL,18.6,Smoothies & Juices,21.1,BREAKFAST,30.7,10,0
21,21,,147,,0,2,0,"Ice, Banana, Frozen Strawberries, Organic Spinach, Green Kale, Carrot Juice, Orange Juice",16089263,0001-01-01T00:00:00,Tioga Pass Smoothie,6.0,4.7,0.2,15 OZL,77.3,Smoothies & Juices,14.5,BREAKFAST,34.8,9,0
22,22,"Tree Nuts, Soybeans, Gluten",490,,0,2,0,"Mango, Blueberries, Coconut-Soy Cream Filling (Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Powdered Sugar, Tofu (Water, Soybean, Nigari, Calcium Sulfate.)), Fair Trade Light Brown Sugar, Earth Balance Margarine (Natural oil blend (palm fruit, canola, soy bean, flax and olive oils), filtered water, contains less than 2% of pure salt, natural flavor) (plant derived), pea protein, sunflower lecithin, lactic acid (non-dairy), and naturally extracted annatto for color. ), Walnut Halves and Pieces, Rolled Oats, Strawberry, Ground Cinnamon",16089264,0001-01-01T00:00:00,Blue Berry Walnut Cobbler,4.0,5.3,9.1,8 OZ,189.6,Dessert,39.6,BREAKFAST,52.3,277,0
23,23,"Tree Nuts, Wheat, Soybeans, Gluten",472,,0,2,0,"Coconut-Soy Cream Filling (Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Powdered Sugar, Tofu (Water, Soybean, Nigari, Calcium Sulfate.)), Mango Compote (Mango, Water, Fair Trade Light Brown Sugar), Tres Leches Milk Sub (Silk Milk (Soymilk (Filtered Water, Soybeans), Cane Sugar, Contains 2% or less of: Vitamin and Mineral Blend (Tricalcium Phosphate, Calcium Carbonate, Vitamin A Palmitate, Vitamin D2, Riboflavin [B2], Vitamin B12), Sea Salt, Natural Flavor, Gellan Gum.  ), Vanilla Almond Milk (Almond milk (Filtered Water, Almonds), Cane Sugar, Contains Less than 2% of: Vitamin & Mineral Blend (Calcium Carbonate, Vitamin E Acetate, Vitamin A Palmitate, Vitamin D2), Sea Salt, Natural Flavor, Sunflower Lecithin, Locust Bean Gum, Gellan Gum, Ascorbic Acid (To Protect Freshness). ), Coconut Milk (Coconut Milk, Water, Stabilizer/Emulsifier(Carboxymethyl Cellulose and/or Polysorbate 60), Thickener(Guar Gum and/or Xanthan Gum), Preservative (Potassium or Sodium Metabisulfite)), Fair Trade Organic Sugar Cane), Vanilla Almond Milk (Almond milk (Filtered Water, Almonds), Cane Sugar, Contains Less than 2% of: Vitamin & Mineral Blend (Calcium Carbonate, Vitamin E Acetate, Vitamin A Palmitate, Vitamin D2), Sea Salt, Natural Flavor, Sunflower Lecithin, Locust Bean Gum, Gellan Gum, Ascorbic Acid (To Protect Freshness). ), Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid.), Macerated Starwberries (Strawberry, Fair Trade Organic Sugar Cane), Fair Trade Organic Sugar Cane, Canola Oil, Red Wine Vinegar (Red Wine Vinegar, Water, Potassium Metabisulfite.), Imitation Vanilla Extract, Baking Soda, Salt, Mint",16089265,0001-01-01T00:00:00,Tres Leches,5.0,5.1,14,1 EACH,212.5,Dessert,37.6,BREAKFAST,58.6,228,0
